ano (uid);ano (nome);local (uid);local (nome);abrangencia (uid);abrangencia (nome);pais (uid);pais (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);indicador (uid);indicador (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200001;Óbitos totais;97.684;89.669;99.632;99.129;106.121;104.503;110.538;108.006;100.921;99.884;94.680;99.707;1.210.474
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200002;(A00-B99) Algumas doenças infecciosas e parasitárias;4.303;3.995;4.322;4.374;4.655;4.570;4.665;4.516;4.233;4.239;4.030;4.156;52.058
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200934;(C00-D48) Neoplasias [tumores];16.418;15.137;17.016;16.253;17.045;16.124;16.871;16.621;16.057;16.695;16.126;16.591;196.954
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;201807;(D50-D89) Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;542;493;520;561;531;551;576;568;517;502;505;522;6.388
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202005;(E00-E90) Doenças endócrinas, nutricionais e metabólicas;6.057;5.536;6.163;5.993;6.545;6.500;7.121;6.805;6.237;6.145;5.743;5.881;74.726
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202425;(F00-F99) Transtornos mentais e comportamentais;1.129;1.021;1.127;1.076;1.157;1.153;1.187;1.089;1.052;1.009;980;1.072;13.052
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202904;(G00-G99) Doenças do sistema nervoso;2.281;2.182;2.408;2.442;2.664;2.586;2.842;2.786;2.637;2.523;2.391;2.558;30.300
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203303;(H00-H59) Doenças do olho e anexos;0;1;1;3;1;0;3;1;2;0;1;2;15
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203622;(H60-H95) Doenças do ouvido e da apófise mastóide;14;4;10;9;16;9;22;13;15;4;15;12;143
2013;2013;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203762;(I00-I99) Doenças do aparelho circulatório;26.907;24.761;27.297;27.835;29.794;29.587;32.220;31.449;28.952;28.258;25.836;26.776;339.672
