ano (uid);ano (nome);local (uid);local (nome);abrangencia (uid);abrangencia (nome);pais (uid);pais (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);indicador (uid);indicador (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200001;Óbitos totais;106.695;90.612;102.473;105.114;114.042;109.240;112.975;107.510;103.152;104.756;100.873;106.733;1.264.175
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200002;(A00-B99) Algumas doenças infecciosas e parasitárias;4.594;4.138;4.582;4.747;5.025;4.559;4.821;4.639;4.357;4.595;4.396;4.569;55.022
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200934;(C00-D48) Neoplasias [tumores];17.577;15.710;17.958;17.498;18.217;17.302;18.068;17.612;17.017;17.590;17.227;18.004;209.780
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;201807;(D50-D89) Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;526;476;542;537;591;618;588;568;492;528;496;544;6.506
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202005;(E00-E90) Doenças endócrinas, nutricionais e metabólicas;6.520;5.240;6.206;6.306;7.048;6.672;6.868;6.590;6.242;6.192;5.981;6.370;76.235
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202425;(F00-F99) Transtornos mentais e comportamentais;1.181;926;1.037;1.060;1.160;1.087;1.094;1.022;992;1.024;982;993;12.558
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202904;(G00-G99) Doenças do sistema nervoso;3.107;2.271;2.612;2.847;3.177;3.061;3.199;2.889;2.924;3.008;2.693;2.933;34.721
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203303;(H00-H59) Doenças do olho e anexos;2;1;3;2;3;4;1;2;1;1;1;0;21
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203622;(H60-H95) Doenças do ouvido e da apófise mastóide;9;9;18;9;7;16;16;15;15;9;14;10;147
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203762;(I00-I99) Doenças do aparelho circulatório;28.824;24.754;27.743;28.958;32.151;31.219;32.303;30.361;28.734;28.735;27.327;28.533;349.642
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;204228;(J00-J99) Doenças do aparelho respiratório;11.818;9.398;11.206;12.636;14.718;14.749;14.876;13.035;12.213;11.846;11.155;11.891;149.541
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;204516;(K00-K93) Doenças do aparelho digestivo;5.307;4.726;5.413;5.618;5.812;5.358;5.630;5.366;5.173;5.241;5.179;5.379;64.202
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;205013;(L00-L99) Doenças da pele e do tecido subcutâneo;401;329;418;391;421;397;450;451;442;434;378;458;4.970
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;205417;(M00-M99) Doenças do sistema osteomuscular e do tecido conjuntivo;444;411;447;477;513;535;430;441;434;444;408;401;5.385
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;206060;(N00-N99) Doenças do aparelho geniturinário;3.284;2.716;2.875;2.820;3.222;3.122;3.249;3.001;3.086;3.072;2.934;3.168;36.549
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;206573;(O00-O99) Gravidez, parto e puerpério;165;155;167;176;172;166;141;143;150;153;147;161;1.896
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;207073;(P00-P96) Algumas afecções originadas no período perinatal;1.973;1.776;1.999;1.942;1.910;1.789;1.875;1.725;1.723;1.746;1.769;1.935;22.162
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;207471;(Q00-Q99) Malformações congênitas, deformidades e anomalias cromossômicas;871;804;934;942;1.040;926;933;860;873;912;921;973;10.989
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;208188;(R00-R99) Sintomas, sinais e achados anormais de exames clínicos e de laboratório, não classificados em outra parte;6.124;4.954;5.508;5.825;6.260;6.171;6.504;6.009;5.851;6.042;5.879;6.586;71.713
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;208589;(S00-T98) Lesões, envenenamento e algumas outras conseqüências de causas externas;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;210071;(V01-Y98) Causas externas de morbidade e de mortalidade;13.968;11.818;12.805;12.323;12.595;11.489;11.929;12.781;12.433;13.184;12.986;13.825;152.136
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;213795;(Z00-Z99) Fatores que influenciam o estado de saúde e o contato com os serviços de saúde;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;2015;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;214514;(U04-U99) Códigos para propósitos especiais;0;0;0;0;0;0;0;0;0;0;0;0;0
