ano (uid);ano (nome);local (uid);local (nome);abrangencia (uid);abrangencia (nome);pais (uid);pais (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);indicador (uid);indicador (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200001;Óbitos totais;102.593;95.801;99.302;97.283;105.443;105.302;106.613;108.743;102.154;105.412;96.588;101.805;1.227.039
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200002;(A00-B99) Algumas doenças infecciosas e parasitárias;4.424;4.271;4.279;4.232;4.421;4.342;4.537;4.603;4.340;4.370;4.046;4.309;52.174
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;200934;(C00-D48) Neoplasias [tumores];16.800;15.892;17.061;16.415;17.311;16.787;17.110;17.246;16.505;17.291;16.466;17.084;201.968
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;201807;(D50-D89) Doenças do sangue e dos órgãos hematopoéticos e alguns transtornos imunitários;528;468;472;459;516;590;539;534;519;510;493;480;6.108
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202005;(E00-E90) Doenças endócrinas, nutricionais e metabólicas;6.468;5.804;5.833;5.828;6.363;6.289;6.479;6.687;6.235;6.402;5.642;5.942;73.972
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202425;(F00-F99) Transtornos mentais e comportamentais;1.120;1.000;1.033;994;1.073;1.091;1.087;1.077;979;1.007;961;1.058;12.480
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;202904;(G00-G99) Doenças do sistema nervoso;2.760;2.868;2.538;2.398;2.690;2.724;2.884;2.853;2.780;2.943;2.393;2.550;32.381
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203303;(H00-H59) Doenças do olho e anexos;3;1;1;1;1;1;3;2;0;2;2;1;18
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203622;(H60-H95) Doenças do ouvido e da apófise mastóide;11;12;14;15;14;15;10;12;15;12;11;16;157
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;203762;(I00-I99) Doenças do aparelho circulatório;27.906;25.909;26.790;26.443;29.502;29.954;30.627;31.130;28.651;29.288;26.414;27.670;340.284
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;204228;(J00-J99) Doenças do aparelho respiratório;10.985;10.304;10.250;10.460;12.461;12.942;12.830;13.239;12.120;12.348;10.430;10.676;139.045
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;204516;(K00-K93) Doenças do aparelho digestivo;5.260;4.715;5.184;5.156;5.444;5.424;5.516;5.450;5.062;5.274;4.986;5.292;62.763
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;205013;(L00-L99) Doenças da pele e do tecido subcutâneo;402;324;383;328;321;353;368;385;349;394;333;360;4.300
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;205417;(M00-M99) Doenças do sistema osteomuscular e do tecido conjuntivo;422;413;406;457;480;428;476;482;452;462;408;439;5.325
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;206060;(N00-N99) Doenças do aparelho geniturinário;2.771;2.900;2.626;2.459;2.696;2.591;2.746;2.888;2.691;2.808;2.568;2.766;32.510
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;206573;(O00-O99) Gravidez, parto e puerpério;173;147;180;157;193;165;188;122;150;145;127;142;1.889
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;207073;(P00-P96) Algumas afecções originadas no período perinatal;1.971;1.866;1.985;1.918;1.991;1.898;1.778;1.737;1.735;1.872;1.754;1.977;22.482
2014;2014;2;Óbitos por ocorrência;1;País;76;Brasil;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;207471;(Q00-Q99) Malformações congênitas, deformidades e anomalias cromossômicas;843;821;930;916;1.062;992;912;949;877;900;912;936;11.050
